cmdlet;depth;parameter
Get-AcceptedDomain;3;org
Get-ExchangeCertificate;3;server
Get-ExchangeServer;3;org
Get-Mailbox;3;org
Get-AdSite;3;org
Get-AdSiteLink;3;org
Get-AutodiscoverVirtualDirectory;3;server
Get-CASMailbox;3;org
Get-ClientAccessArray;3;org
Get-ClientAccessServer;3;org
Get-Clientaccessservice;3;org
Get-DatabaseAvailabilityGroup;3;org
Get-DlpPolicy;3;org
Get-DomainController;3;org
Get-ECPVirtualDirectory;3;server
Get-EdgeSubscription;3;org
Get-EmailAddressPolicy;3;org
Get-FederatedOrganizationIdentifier;3;org
Get-FederationTrust;3;org
Get-GlobalAddressList;3;org
Get-IntraOrganizationConfiguration;3;org
Get-MailboxDatabase;3;org
Get-MailboxServer;3;org
Get-MalwareFilterPolicy;3;org
Get-ReceiveConnector;3;server
Get-SendConnector;3;org
Get-TransportAgent;3;org
Get-TransportConfig;3;org
Get-WebServicesVirtualDirectory;3;server
Get-MAPIVirtualDirectory;3;server
Get-ActiveSyncVirtualDirectory;3;server
Get-OABVirtualDirectory;3;server
Get-OwaVirtualDirectory;3;server
Get-PowerShellVirtualDirectory;3;server
Get-OrganizationConfig;3;org
Get-HybridConfiguration;3;org
Get-RemoteDomain;3;org
Get-OrganizationRelationshipGetOrganizationRelationship;3;org
Get-AvailabilityAddressSpace;3;org
Get-AuthConfig;3;org
Get-PartnerApplication;3;org
